各兴趣领域感兴趣人数：
交通运输规划与管理	1
交通流理论	1
交通工程与城市规划	1
交通工程	1
交通安全	1
交叉热点	1
交叉学科	1
互联网金融	1
二维材料	1
书籍	1
书	1
乒乓	1
中子数值计算	1
中子	1
中國歷史	1
中国语言文字	1
中国国情与战略	1
中国古典哲学	1
中共党史	1
中亚	1
个体化治疗	1
业务过程管理	1
世界文学与文化	1
世界形态	1
专利代理	1
三维打印	1
三国	1
一带一路	1
一位很饿的很饿的女士	1
一个学理工的文人	1
wto	1
web开发	1
vr應用之探索	1
vocaloid	1
tcs	1
smart	1
sdn	1
ros	1
ppp	1
phm	1
nlp	1
netflix	1
mro	1
mooc	1
ml	1
minecraft	1
mems	1
mba	1
manga	1
lovelive	1
lol	1
linux	1
ingress	1
icn	1
iaq	1
hvdc-vsc	1
hci	1
h	1
grid	1
gis	1
gender问题	1
game	1
fuel	1
fds	1
ee	1
dna组装	1
dna纳米技术	1
diy	1
deep	1
cv	1
cims	1
cell	1
bigdata	1
autos	1
arashi	1
arab	1
acg动漫游戏文化	1
acg	1
5g云接入网络	1

各兴趣领域微沙龙个数：
工学	1075
经济学	1007
文学	937
教育学	791
哲学	570
管理学	553
心理学	377
历史学	372
计算机应用技术	364
中国语言文学	346
计算机科学与技术	340
法学	340
结构工程	336
金融学	335
理学	321
艺术学	306
管理科学与工程	286
社会学	245
医学	212
应用经济学	204
计算机软件与理论	196
生物医学工程	187
计算机系统结构	182
生物学	178
公共管理	177
软件工程	168
产业经济学	125
理论经济学	121
英语语言文学	116
新闻传播学	114
光学工程	114
电子科学与技术	113
土木工程	107
建筑材料	100
数学	97
设计学	91
运筹学与控制论	84
概率论与数理统计	83
区域经济学	82
材料学	81
外国语言文学	81
交通运输工程	81
桥梁与隧道工程	79
材料科学与工程	79
信息与通信工程	79
美术学	78
计算机	74
政治学	73
传播学	72
仪器科学与技术	70
行政管理	69
会计学	67
企业管理	66
电力系统及其自动化	64
体育学	64
航空宇航推进理论与工程	63
物理学	61
医学技术	61
临床医学	60
戏剧与影视学	59
英语	58
固体力学	58
外国哲学	57
马克思主义哲学	56
通风及空调工程	55
应用数学	55
历史	55
供燃气	55
供热	55
中国史	55
基础医学	54
语言学	53
工商管理	53
中国哲学	48
基础数学	45
统计学	44
国民经济学	44
核能科学与工程	43
风景园林学	42
计算机网络	42
能源	42
电气工程	42
理论物理	42
气象学	42
人类学	42
大数据	41
控制科学与工程	39
房地产	39
国际关系	39
化学	39
环境工程	38
建筑学	38
车辆工程	37
音乐与舞蹈学	36
机械工程	36
通信与信息系统	35
生态学	35
材料物理与化学	34
可视化	34
农学	34
城市规划与设计	33
力学	33
美学	32
凝聚态物理	32
信号与信息处理	32
防灾减灾工程及防护工程	30
外国语言学及应用语言学	30
社會	29
机械制造及其自动化	29
土木	29
中国语言文字	29
民商法学	28
核技术与应用	28
新闻学	28
宗教学	28
生物工程	27
环境科学与工程	27
核科学与技术	26
机器学习	26
城乡规划学	26
军事学	26
伦理学	26
交通	26
系统科学	25
电机与电器	25
电力电子与电力传动	25
计算数学	24
科技	24
科学技术哲学	24
政治经济学	24
技术经济及管理	24
国际政治	24
金融	23
经济	23
大气物理学与大气环境	23
体育	23
高电压与绝缘技术	22
电路与系统	22
生物	22
文化	22
教育	22
建筑技术科学	22
岩土工程	22
艺术学理论	21
结构试验	21
精密仪器及机械	21
水文学与水资源	21
政治	21
市政工程	21
工程	21
安全科学与工程	21
